country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malaysia,,,,,,,61.2,51.8,74.8,57,77.4,53.6,56.7,65.4,102,109,115,150,321,247,241,304,93.2,132,177,121,128,125,146,146,126,145,168,82,143,160,133,148,155,136,127,119,143,111,111,129
Namibia,,,,,,,,,,,,,,,,,,,0.855,5.35,4.75,11.9,16.6,11,17.2,7.73,4.23,2.48,1.4,1.4,1.67,1.97,1.96,0.565,0.348,0.0103,0.0092,,,,,21.8,22.6,18,20.8,17.6
Nigeria,,,,,,,,,,,,,,,,,,,3.78,3.7,5.52,6.85,6.25,4.73,4.97,,,2.5,,11.7,12.7,13.8,30.5,14.2,10.9,13.8,9.42,12.1,15.5,10.9,10.1,7.36,9.9,7.47,9.26,13.1
Netherlands,18.3,18.5,17.7,17.1,16.3,15,13.3,16.2,22,24.6,41.3,41.7,35.5,41.3,59.8,37.6,51.6,47,51.4,59.1,63.4,83.3,112,138,155,153,117,84.7,84.2,81.8,86.5,106,113,40.8,64.2,78,65.7,77.6,93.2,88.2,95.2,103,132,,,
Norway,,,,,,,5.24,3.82,7.44,93.3,15.4,12.8,12.6,15.5,24.6,21.8,18,13.6,22.7,28.7,29.3,34.8,41.2,30.1,39.2,38.4,39.9,32.8,41.8,53.3,61.6,81,88.1,31.4,58.6,68.5,44.1,47.3,50.5,43.7,50,62.3,71.5,60.8,72.3,
New Zealand,,,,,,,,,,,35.6,72.6,38.8,29.8,30.7,19.4,33.4,36.8,54.8,49,49.1,54.6,46.2,44.1,48.2,35.4,33.1,32.7,37.4,42.1,35.4,40.2,34.6,18.2,29.3,,,30,34.6,37,41.8,42.4,45.8,40.7,50.6,62.2
Oman,,,,,,,,,,,,,,,,,,,12.9,16.5,17.2,19.9,47.3,31.4,26.8,21.4,20.9,,,38.1,49.1,43.3,63.4,33.8,46.4,43.6,34.7,34.7,40.9,40.8,52.2,31,26.3,20.5,19.4,21.7
Pakistan,,,,,,,,,,,,,,,,,,,24.4,24.7,15.6,18.4,18.9,8.71,11.1,6.66,5.05,,,34.5,31.2,27.7,37.9,11.5,17,19.3,14.1,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,4.96,8.13,8.68,13,20.4,33,28.7,22.7,20.8,23.8,23.5,28,36.4,39.4,33.8,28.1,28.5,28.4,30.8,31,27.6,27.6,24.4,23.4,24.2,23.3,24.8,24.4
Peru,,,,,,,,,,,,,,,,,,,,,,,26.6,17.8,24.1,18.8,18.8,20.9,24.1,27.1,31.7,45.1,67.9,31.4,59.3,70.1,47.7,53.3,40.3,39.3,29.8,42.3,47,42,43.3,43.1
Philippines,,,,,,,,,,,,,,,,,,,,,,85.2,33.3,47.4,49.3,31.1,26.9,22,26.6,30.1,37,53.2,65.9,28.6,49.1,75.5,70.5,87.6,76.5,88,77.9,75.2,88.4,74.4,73.1,75.4
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,97.4,126,92.7,136,95.8,151,77.4,70,,13.8,14.3,7.91,7.92,7.39,,,
Poland,,,,,,,,,,,,,,,,,,,,,3.21,5.23,7.61,11.7,17.4,18.2,13.6,14.3,17,27.6,30.7,43.2,49.3,17,34.3,40.1,26.4,35.8,39.7,31.3,28.9,29.5,38.4,27.3,25.4,29.6
Portugal,,,,,,,,,,,,,,,,,,,,,,,33.3,50.8,53.5,51.2,38.1,31.8,35.3,37.1,34,49.9,55,26.1,40.2,34.4,25.2,30.3,35,25.1,30,27.7,34.1,25.6,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,3.96,4.25,3.96,3.54,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,14.1,10.5,12.8,11.8,11.6,16.9,61.7,36.1,30.1,24.9,29.4,25.3,24.9,23.4,24,22.8,23.9,22,24.1,22.9,21.9,22.2
